,audio_path,model_label,start,end,script
0,./concat_audio/MYNBYT/T1/chunk_3/1.8 to 6.1.mp3,NgocQuan,1.8,6.1,trời còn chưa sáng mày bảo tao tư vấn qua mùng tám tháng ba cho người yêu mày làm sao mà tao biết được.
1,./concat_audio/MYNBYT/T1/chunk_3/7.5 to 10.1.mp3,NgocQuan,7.5,10.1,vừa sắm cho khách cả đêm mệt lắm muốn ngủ lắm.
2,./concat_audio/MYNBYT/T1/chunk_3/15.4 to 20.1.mp3,NgocQuan,15.4,20.1,à không thì mày bảo à mày tặng nó cái hình xăm qua tao tao giảm năm mươi phần trăm cho.
3,./concat_audio/MYNBYT/T1/chunk_3/79.2 to 80.5.mp3,DucAnh,79.2,80.5,chạy thiên sang thôi.
4,./concat_audio/MYNBYT/T1/chunk_3/99.0 to 106.5.mp3,DucAnh,99.0,106.5,may quá gì đi mất tiền đẻ không ấy anh ơi không từ từ để anh đây có gì em đưa anh đi bệnh viện kiểm tra xem mình kiểm tra chụp chiếu xem thương khớp hay là.
5,./concat_audio/MYNBYT/T1/chunk_3/143.4 to 144.5.mp3,DucAnh,143.4,144.5,ông minh đồng ra sát à.
6,./concat_audio/MYNBYT/T1/chunk_3/212.6 to 217.0.mp3,KieuGiang,212.6,217.0,mà hôm nay số em nó đen thế chứ xuống lên sân bay thì thất vả hành lý.
7,./concat_audio/MYNBYT/T1/chunk_3/220.0 to 221.7.mp3,KieuGiang,220.0,221.7,em gọi chả đứa nào nghe máy cả.
8,./concat_audio/MYNBYT/T1/chunk_3/232.0 to 235.8.mp3,KieuGiang,232.0,235.8,hoá ra con lan nhà mình nó muốn ly hôn là phì nó bị cắm sừng.
9,./concat_audio/MYNBYT/T1/chunk_3/238.6 to 244.7.mp3,KieuGiang,238.6,244.7,trên răng dưới cát túp như thế mà nó dám đối xử với con gái mình như vậy mình bảo là như thế có điên không.
10,./concat_audio/MYNBYT/T1/chunk_3/265.1 to 266.4.mp3,KieuGiang,265.1,266.4,em không muốn ẩm ý đâu.
11,./concat_audio/MYNBYT/T1/chunk_3/267.7 to 274.3.mp3,KieuGiang,267.7,274.3,nhưng cái thằng con rể kia nó lại muốn chia đôi cái căn chung cư của con mình cơ mình có đồng ý không là mình thì mình có đồng ý không.
12,./concat_audio/MYNBYT/T1/chunk_3/284.0 to 285.2.mp3,NgocQuan,284.0,285.2,êm ấm kín kẽ.
